personalid,ESNights,ES,TransitionalHousing,PH,StreetOutReach,ServicesOnly,Other,SafeHaven,PH-NoDis,HomelessPrev,PHRapid,CoordinatedAsses,Usage Cluster
3057,4.0,4.0,,,,,,,,,,,Very Low Use
3060,29.0,28.0,,,,,3.0,,,,,1.0,Low Use
3063,18.0,15.0,,,1.0,,,,,,,2.0,Low Use
3074,103.0,102.0,,,1.0,,,,,,,1.0,High Use
3086,132.0,61.0,,,,,1.0,,,,,1.0,High Use
3095,18.0,1.0,,,,,,,,,,2.0,Very Low Use
3112,,,1.0,,1.0,,,,,,,1.0,Very Low Use
3120,,,,,,,1.0,,,,,1.0,Very Low Use
3122,,,,1.0,,,1.0,,,,,,Very Low Use
3167,19.0,19.0,,,1.0,,,,,,2.0,,Low Use
3193,,,,,,,1.0,,,,,,Very Low Use
3195,137.0,137.0,,,,,,,,,,,High Use
3225,,,,,,,,,,,,1.0,Very Low Use
3230,,,,,1.0,,,,,,,,Very Low Use
3236,,,,,1.0,,,,,,,,Very Low Use
3306,,,,,,,,,,,,1.0,Very Low Use
3370,,,,,,,,,,,,1.0,Very Low Use
3382,,,,,,,,,,,,1.0,Very Low Use
3415,1.0,1.0,,,1.0,,1.0,,,,,,Very Low Use
3418,8.0,3.0,,,,,,,,,,1.0,Very Low Use
3437,,,,,,,1.0,,,,,,Very Low Use
3441,96.0,8.0,,,,1.0,,,,,1.0,1.0,Medium Use
3442,17.0,17.0,,,,,,,,,,1.0,Low Use
3460,68.0,1.0,,1.0,3.0,,,,,,,1.0,Low Use
3474,,,1.0,,,,,,,,,1.0,Very Low Use
3510,3.0,3.0,,,1.0,,,,,,,1.0,Very Low Use
3535,1.0,1.0,,,,,,,,,,,Very Low Use
3549,,,,,,,1.0,,,,,1.0,Very Low Use
3557,,,,,1.0,,,,,,,,Very Low Use
3576,,,,,,,,,,,,1.0,Very Low Use
3598,,,,,1.0,,1.0,,,,,,Very Low Use
3607,124.0,5.0,,,,,,,,,,1.0,Medium Use
3697,205.0,29.0,,,,1.0,1.0,,,,,1.0,High Use
3707,138.0,136.0,,,,,,,,,,1.0,High Use
3735,,,,,1.0,,,,1.0,,,,Very Low Use
3739,42.0,1.0,,,,,,,,,,1.0,Low Use
3786,3.0,1.0,,,,,,,,,,,Very Low Use
3852,246.0,13.0,,,,1.0,1.0,,,,1.0,1.0,High Use
3880,,,,,,,1.0,,,,,,Very Low Use
3919,7.0,2.0,,,,,,,,,,2.0,Very Low Use
4020,,,,,,,1.0,,,,,,Very Low Use
4059,77.0,2.0,,,,,,,,,,1.0,Low Use
4178,,,,,2.0,,,,,,,1.0,Very Low Use
