personalid,ESNights,ES,TransitionalHousing,PH,StreetOutReach,ServicesOnly,Other,SafeHaven,PH-NoDis,HomelessPrev,PHRapid,CoordinatedAsses,Usage Cluster
929754,,,,,,,,,,,,1.0,Very Low Use
929757,,,,,,,1.0,,,,,,Very Low Use
929759,,,,,1.0,,,,,,,1.0,Very Low Use
929764,15.0,14.0,,,,,,,,,,,Low Use
929824,,,,,,,1.0,,,,,,Very Low Use
929833,42.0,1.0,,,,,,,,,,,Low Use
929836,3.0,2.0,,,1.0,,1.0,,,,,,Very Low Use
929852,,,,,1.0,,2.0,,,,,,Very Low Use
929858,185.0,1.0,,,1.0,,,,,,1.0,3.0,High Use
929864,,,,,,,,,,,1.0,1.0,Very Low Use
929902,,,,,1.0,,,,,,,,Very Low Use
929903,6.0,3.0,,,1.0,,,,,,,1.0,Very Low Use
929909,242.0,241.0,,,,,,,,,,,Very High Use
929915,11.0,2.0,,,,,,,,,,,Very Low Use
929926,,,,,,,,,,,,1.0,Very Low Use
929933,,,,,,,1.0,,,,,,Very Low Use
929960,41.0,13.0,,,,,,,,,,,Low Use
929963,59.0,1.0,,,1.0,,,,,,1.0,,Low Use
929964,49.0,1.0,,,,,1.0,,,,1.0,,Low Use
929974,,,,,,,,,,,,1.0,Very Low Use
929975,,,,,,,,,,,,1.0,Very Low Use
929976,,,,,,,,,,,,1.0,Very Low Use
929978,,,,,,,1.0,,,,,,Very Low Use
929993,,,,,,,2.0,,,,,1.0,Very Low Use
930007,35.0,35.0,,,,,,,,,,2.0,Low Use
930016,33.0,1.0,,,,,1.0,,,,1.0,1.0,Low Use
930049,64.0,1.0,,,1.0,,,,,,,3.0,Low Use
930050,64.0,1.0,,,1.0,,1.0,,,,,3.0,Low Use
930051,64.0,1.0,,,1.0,,1.0,,,,,3.0,Low Use
930052,64.0,1.0,,,1.0,,1.0,,,,,3.0,Low Use
930086,324.0,227.0,,,1.0,,1.0,,,,,,Very High Use
930103,,,,,,,,,,,1.0,,Very Low Use
930117,162.0,2.0,,,,1.0,,,,,,1.0,High Use
930121,5.0,1.0,,,,,,,,,1.0,1.0,Very Low Use
930134,,,,,1.0,,2.0,,,,,1.0,Very Low Use
930141,,,,,,,1.0,,,,,1.0,Very Low Use
930142,,,,,,,,,,,,1.0,Very Low Use
930144,,,,,1.0,,,,,,,1.0,Very Low Use
930168,34.0,1.0,,,,,,,,,,1.0,Low Use
930176,,,,,,1.0,,,,,,,Very Low Use
930177,,,,,,1.0,,,,,,,Very Low Use
930178,,,,,,1.0,,,,,,,Very Low Use
930179,,,,,,1.0,,,,,,,Very Low Use
930198,,,,,,,,,,,,1.0,Very Low Use
930208,23.0,1.0,,,1.0,1.0,,,,,1.0,3.0,Low Use
930230,112.0,1.0,1.0,,1.0,,,,,,,,Medium Use
930231,112.0,1.0,1.0,,1.0,,,,,,,,Medium Use
930232,112.0,1.0,1.0,,1.0,,,,,,,,Medium Use
930285,,,,,,,,,,,,1.0,Very Low Use
930286,1.0,1.0,,,1.0,,,,,,,,Very Low Use
930297,,,,,,,,,,,,1.0,Very Low Use
930298,,,,,,,,,,,,1.0,Very Low Use
930300,,,,,,,,,,,,1.0,Very Low Use
930301,,,,,,,,,,,,1.0,Very Low Use
930317,,,,,,,,,,,,1.0,Very Low Use
930324,,,,,,,,,,,,2.0,Very Low Use
930326,37.0,3.0,,,,,,,,,,1.0,Low Use
930328,,,,,,,1.0,,,,,,Very Low Use
930329,,,,,,1.0,,,,,,,Very Low Use
930335,33.0,3.0,,,,1.0,2.0,,,,,1.0,Low Use
930348,,,,,1.0,,,,,,,,Very Low Use
930349,,,,,1.0,,,,,,,,Very Low Use
930350,21.0,1.0,,,,,,,,,,2.0,Very Low Use
930352,,,,,1.0,,,,,,,,Very Low Use
930370,75.0,1.0,,,,,,,,,,1.0,Low Use
930387,,,,,,,1.0,,,,,,Very Low Use
930408,,,,,1.0,,,,,,,,Very Low Use
930417,,,,,,1.0,,,,,,,Very Low Use
930420,2.0,2.0,,,1.0,,,,,,,,Very Low Use
930425,,,1.0,,,,,,,,,,Very Low Use
930444,,,,,,,1.0,,,,,,Very Low Use
930452,,,,,,,,,,,1.0,4.0,Very Low Use
930454,210.0,208.0,,,,,2.0,,,,,3.0,Very High Use
930481,,,,,,,1.0,,,,,,Very Low Use
930482,85.0,1.0,,,,,1.0,,,,,1.0,Medium Use
930483,85.0,1.0,,,,,1.0,,,,,1.0,Medium Use
930490,,,,,,1.0,,,,,,,Very Low Use
930505,,,,,,,,,,,,1.0,Very Low Use
930510,,,,,,,,,,,,1.0,Very Low Use
930521,33.0,3.0,,,,1.0,,,,,,1.0,Low Use
930537,,,,,,,1.0,,,,,1.0,Very Low Use
930560,3.0,3.0,,,,,,,,,,,Very Low Use
930563,142.0,1.0,,,,,1.0,,,,1.0,2.0,Medium Use
930565,142.0,1.0,,,,,,,,,1.0,2.0,Medium Use
930567,,,,,,,,,,,,1.0,Very Low Use
930569,,,,,1.0,,,,,,,,Very Low Use
930586,,,,,,,2.0,,,,,2.0,Very Low Use
930587,10.0,5.0,1.0,,,,2.0,,,,,2.0,Very Low Use
930589,,,,,1.0,1.0,,,,,,,Very Low Use
930598,18.0,2.0,,,,,,,,,,1.0,Very Low Use
930613,,,,1.0,,,,,,,,,Very Low Use
930615,,,,1.0,,,,,,,,,Very Low Use
930616,,,,1.0,,,,,,,,,Very Low Use
930621,4.0,1.0,1.0,,,,,,,,,2.0,Very Low Use
930633,91.0,5.0,,1.0,,,,,,,,,Medium Use
930634,,,,,,,1.0,,,,,,Very Low Use
930637,,,,1.0,,,,,,,,,Very Low Use
930638,,,,,,4.0,,,,,,1.0,Very Low Use
930646,,,,,,,,,,,,1.0,Very Low Use
930648,,,,,,,1.0,,,,,2.0,Very Low Use
930680,4.0,3.0,,,,,2.0,,,,,,Very Low Use
930693,11.0,11.0,,,,,,,,,,1.0,Very Low Use
930698,123.0,1.0,,,,,,,,,,1.0,Medium Use
930708,,,,,1.0,,,,,,,1.0,Very Low Use
930709,,,,,1.0,,,,,,,1.0,Very Low Use
930711,56.0,5.0,,,,,,,,,,1.0,Low Use
930740,,,,,,,,,,,,2.0,Very Low Use
930741,169.0,14.0,,,,1.0,1.0,,,,,1.0,High Use
930757,,,,,,,,,,,,1.0,Very Low Use
930776,,,,,1.0,1.0,,,,,,1.0,Very Low Use
930783,,,,,,,1.0,,,,,,Very Low Use
930798,136.0,3.0,,,,,,,,,2.0,,Medium Use
930837,,,,,,,,,,,,1.0,Very Low Use
930838,,,,,,,,,,,,1.0,Very Low Use
930839,,,,,,,,,,,,1.0,Very Low Use
930860,101.0,1.0,,,,,,,,,,1.0,Medium Use
930861,101.0,1.0,,,,,,,,,,1.0,Medium Use
930866,19.0,19.0,,,,,,,,,,1.0,Low Use
930882,,,,1.0,,,,,,,1.0,,Very Low Use
930888,3.0,3.0,,,2.0,,,,,,,1.0,Very Low Use
930891,23.0,2.0,,,,,,,,,1.0,1.0,Very Low Use
930914,2.0,2.0,1.0,,1.0,,2.0,,,,,2.0,Very Low Use
930922,,,,,,,,,,,,1.0,Very Low Use
930925,1.0,1.0,,,,,,,,,,,Very Low Use
930950,,,,,,,1.0,,,,,,Very Low Use
930957,,,,,2.0,,1.0,,,,,2.0,Very Low Use
930958,,,,,,,,,,,,1.0,Very Low Use
930970,,,,,,,1.0,,,,,,Very Low Use
930987,13.0,4.0,,,,,,,,,,,Very Low Use
930992,,,,,1.0,,2.0,,,,,,Very Low Use
931007,20.0,13.0,,,1.0,,,,,,,2.0,Low Use
931020,,,,,,,1.0,,,,,,Very Low Use
931060,,,1.0,,,,,,,,,,Very Low Use
931068,,,,1.0,,,,,,,,,Very Low Use
931081,,,,,,,,,,,,1.0,Very Low Use
931099,2.0,1.0,,,,,,,,,,,Very Low Use
931111,,,,,,,,,,,,1.0,Very Low Use
931114,,,,,,,,,,,,1.0,Very Low Use
931118,78.0,1.0,,,1.0,1.0,,,,,,1.0,Low Use
931119,78.0,1.0,,,1.0,1.0,,,,,,1.0,Low Use
931142,,,,,,,,,,,,1.0,Very Low Use
931144,121.0,1.0,,,,,,,,,,,Medium Use
931145,,,,,,1.0,,,,,,,Very Low Use
931156,2.0,2.0,,,1.0,1.0,1.0,,,,,4.0,Very Low Use
931157,,,,,,,,,,,,3.0,Very Low Use
931162,87.0,11.0,,,,,,,,,,1.0,Medium Use
931181,,,,,,,,,,,,1.0,Very Low Use
931189,228.0,2.0,,,,,,,,,,2.0,High Use
931212,,,,,1.0,,,,,,,2.0,Very Low Use
931215,3.0,3.0,,,,,,,,,,1.0,Very Low Use
931217,106.0,43.0,,,1.0,2.0,5.0,,,,,2.0,Medium Use
931222,228.0,2.0,,,,,,,,,,2.0,High Use
931223,228.0,2.0,,,,,,,,,,2.0,High Use
931224,228.0,2.0,,,,,,,,,,2.0,High Use
931225,228.0,2.0,,,,,,,,,,2.0,High Use
931226,228.0,2.0,,,,,,,,,,2.0,High Use
931234,42.0,2.0,,,,,,,,,,,Low Use
931239,122.0,2.0,,,1.0,1.0,1.0,,,,,1.0,Medium Use
931249,143.0,4.0,,,,,,,,,,1.0,Medium Use
931250,,,,,,,,,,,,1.0,Very Low Use
931280,40.0,1.0,,,1.0,,,,,,1.0,,Low Use
931283,40.0,1.0,,,1.0,,,,,,1.0,,Low Use
931292,6.0,6.0,,,1.0,1.0,1.0,,,,,1.0,Very Low Use
931318,5.0,3.0,,,1.0,,,,,,,,Very Low Use
931322,8.0,1.0,,2.0,1.0,,,,,,,,Very Low Use
931334,,,,,1.0,,,,,,,,Very Low Use
931354,,,,1.0,,,,,,,,,Very Low Use
931362,,,,,2.0,,,,,,,,Very Low Use
931366,,,,,,,,,,,,1.0,Very Low Use
931370,,,,,,,1.0,,,,,,Very Low Use
931393,4.0,4.0,,,,,,,,,,,Very Low Use
931394,,,,,,1.0,,,,,,1.0,Very Low Use
931415,,,,,,,,,,,,2.0,Very Low Use
931439,78.0,2.0,,,,,2.0,,,,,2.0,Low Use
931454,46.0,46.0,,,,,,,,,,1.0,Medium Use
931457,,,,1.0,,,,,,,,1.0,Very Low Use
931471,,,,,,,,,,,1.0,,Very Low Use
931494,,,,,,,1.0,,,,,,Very Low Use
931519,,,,,,,1.0,,,,,,Very Low Use
931520,,,,,,,1.0,,,,,,Very Low Use
931529,102.0,1.0,,,,,,,,,,1.0,Medium Use
931567,,,,,,,,,,,,1.0,Very Low Use
931568,,,,,,,1.0,,,,1.0,1.0,Very Low Use
931569,,,,,,,1.0,,,,1.0,1.0,Very Low Use
931570,,,,,,,1.0,,,,1.0,1.0,Very Low Use
931571,,,,,,,1.0,,,,1.0,1.0,Very Low Use
931575,15.0,6.0,,,,,2.0,,,,,2.0,Very Low Use
931583,,,,,,,1.0,,,,,,Very Low Use
931584,228.0,50.0,,,1.0,,,,,,,1.0,High Use
931586,92.0,9.0,,,,1.0,,,,,,4.0,Medium Use
931640,,,,,1.0,,,,,,,,Very Low Use
931650,5.0,5.0,,,,,,,,,,1.0,Very Low Use
931661,78.0,1.0,,1.0,1.0,,,,,,,1.0,Low Use
931663,78.0,1.0,,1.0,,,,,,,,1.0,Low Use
931669,178.0,1.0,,,,1.0,,,,,1.0,1.0,High Use
931693,,,,,,,1.0,,,,,,Very Low Use
931695,,,,,,,1.0,,,,,,Very Low Use
931706,365.0,269.0,,,1.0,1.0,,,,,,,Very High Use
931715,,,,,,,,,,,1.0,,Very Low Use
931734,,,,,,1.0,,,,,,,Very Low Use
931739,83.0,2.0,,,,,1.0,,,,,2.0,Medium Use
931748,,,,,,,,,,,1.0,,Very Low Use
931749,,,,,,,,,,,1.0,,Very Low Use
931750,,,,,,,,,,,1.0,,Very Low Use
931787,,,,,,,,,,,,1.0,Very Low Use
931789,,,,,,,,,,,,1.0,Very Low Use
931808,5.0,1.0,,,,,1.0,,,,1.0,1.0,Very Low Use
931818,,,1.0,,,,,,,,,1.0,Very Low Use
931821,,,,,,,1.0,,,,,,Very Low Use
931825,,,,,,,,,,,,1.0,Very Low Use
931828,,,,,,,1.0,,,,,1.0,Very Low Use
931829,152.0,1.0,,,,,,,,,2.0,1.0,Medium Use
931830,152.0,1.0,,,,,,,,,2.0,1.0,Medium Use
931831,152.0,1.0,,,,,,,,,2.0,1.0,Medium Use
931849,,,,,,,1.0,,,,1.0,,Very Low Use
931850,118.0,1.0,,1.0,2.0,1.0,,,,,,1.0,Medium Use
931868,132.0,1.0,,,,,,,,,,1.0,Medium Use
931881,2.0,2.0,,,,,,,,,,,Very Low Use
931884,1.0,1.0,,,,,,,,,,,Very Low Use
931897,,,,,,,,,,,,1.0,Very Low Use
931900,8.0,4.0,,,,,1.0,,,,,2.0,Very Low Use
931905,,,,,,,1.0,,,,,2.0,Very Low Use
931913,,,,,,,2.0,,,,,,Very Low Use
931940,97.0,1.0,,,,,,,,,,1.0,Medium Use
931966,,,,,,,,,,,1.0,1.0,Very Low Use
931996,,,,,2.0,1.0,,,,,,2.0,Very Low Use
932044,,,,,,,,,1.0,,,,Very Low Use
932045,,,,,,,,,1.0,,,,Very Low Use
932046,,,,,,,,,1.0,,,,Very Low Use
932050,,,,,,,,,,,,1.0,Very Low Use
932076,,,,1.0,,,,,,,,,Very Low Use
932086,144.0,1.0,,,,,,,,,,,Medium Use
932092,,,,,1.0,,,,,,,1.0,Very Low Use
932095,,,,,,,,,,,,2.0,Very Low Use
932106,,,,,,,,,,,,1.0,Very Low Use
932115,122.0,9.0,,,,,,,,,,,Medium Use
932166,,,,1.0,,,1.0,,,,,,Very Low Use
932168,83.0,1.0,,,1.0,,,,,,,1.0,Medium Use
932169,83.0,1.0,,,1.0,,,,,,,1.0,Medium Use
932212,1.0,1.0,,,,,,,,,,,Very Low Use
932226,,,,,,,,,,,,1.0,Very Low Use
932234,,,1.0,,,,,,,,,1.0,Very Low Use
932235,,,1.0,,,,,,,,,1.0,Very Low Use
932236,,,1.0,,,,,,,,,1.0,Very Low Use
932262,,,1.0,,,,,,,,,,Very Low Use
932264,,,1.0,,,,,,,,,,Very Low Use
932265,1.0,1.0,,,,,,,,,,1.0,Very Low Use
932273,,,,,1.0,,,,,,,1.0,Very Low Use
932283,,,,,,,,,,,,1.0,Very Low Use
932286,,,,,,,,,,,,1.0,Very Low Use
932293,66.0,1.0,,1.0,1.0,,,,,,,1.0,Low Use
932314,,,,,,,,,,,,1.0,Very Low Use
932315,,,,,,,,,,,,1.0,Very Low Use
932317,,,,,,,,,,,,1.0,Very Low Use
932318,102.0,1.0,,,,,1.0,,,,,1.0,Medium Use
932320,,,,,,,,,,1.0,,,Very Low Use
932322,,,,1.0,,,,,,,,,Very Low Use
932366,,,,,,,1.0,,,,,,Very Low Use
932392,79.0,10.0,,,,,,,,,,1.0,Medium Use
932394,,,,,2.0,,,,,,,,Very Low Use
932412,38.0,1.0,,,1.0,,,,,,1.0,1.0,Low Use
932413,5.0,4.0,,,,,,,,,,,Very Low Use
932442,107.0,14.0,,,,,1.0,,,,,,Medium Use
932446,,,,1.0,2.0,,,,,,,1.0,Very Low Use
932447,17.0,17.0,,,,,,,,,,,Low Use
932455,,,,1.0,1.0,,,,,,,1.0,Very Low Use
932497,67.0,4.0,,,1.0,,3.0,,,,,1.0,Low Use
932498,,,,,,,,,,,,1.0,Very Low Use
932499,,,,,,,,,,,,1.0,Very Low Use
932506,,,,,,,,,,,,1.0,Very Low Use
932517,,,,2.0,2.0,,1.0,,,,,,Very Low Use
932543,86.0,1.0,,1.0,1.0,,1.0,,,,,1.0,Medium Use
932564,,,,,,,,,,,1.0,1.0,Very Low Use
932569,,,,,,,,,,,1.0,,Very Low Use
932570,,,,,,,,,,,1.0,1.0,Very Low Use
932571,,,,,,,,,,,1.0,1.0,Very Low Use
932608,79.0,1.0,,,,,1.0,,,,,1.0,Low Use
932610,79.0,1.0,,,,,1.0,,,,,1.0,Low Use
932611,79.0,1.0,,,,,1.0,,,,,1.0,Low Use
932628,,,,,,1.0,,,,,,,Very Low Use
932639,,,,,,,2.0,,,,,,Very Low Use
932651,29.0,29.0,,,,1.0,1.0,,,,,,Low Use
932664,,,,,,,,,,,,1.0,Very Low Use
932669,46.0,2.0,,,,,,,,,,1.0,Low Use
932673,,,,1.0,,,,,,,,,Very Low Use
932674,,,,1.0,,,,,,,,,Very Low Use
932675,,,,1.0,,,,,,,,,Very Low Use
932734,,,,,,,1.0,,,,,,Very Low Use
932738,,,,,,,,,,,,1.0,Very Low Use
932742,,,,,,,1.0,,,,,1.0,Very Low Use
932777,48.0,1.0,,,,,,,,,,2.0,Low Use
932778,30.0,30.0,,,,,,,,,,,Low Use
932780,4.0,4.0,,,,,,,,,,,Very Low Use
932788,136.0,6.0,,,,1.0,,,,,1.0,3.0,Medium Use
932789,,,,,,,1.0,,,,,,Very Low Use
932813,,,,,1.0,,,,,,,,Very Low Use
932814,2.0,1.0,,,,,2.0,,,,,1.0,Very Low Use
932817,2.0,1.0,,,,,2.0,,,,,1.0,Very Low Use
932830,,,,,,,,,,,,2.0,Very Low Use
932831,,,,,,,,,,,,2.0,Very Low Use
932832,,,,,,,,,,,,2.0,Very Low Use
932842,,,,,,,,,,,,2.0,Very Low Use
932848,,,,,,,1.0,,,,,,Very Low Use
932855,,,,,1.0,,,,,,,1.0,Very Low Use
932857,,,,,1.0,,,,,,,1.0,Very Low Use
932858,,,,,1.0,,,,,,,1.0,Very Low Use
932898,27.0,1.0,,,1.0,,3.0,,,,1.0,1.0,Low Use
932901,,,,,,,,,,,,1.0,Very Low Use
932904,64.0,1.0,,,,1.0,,,,,1.0,,Low Use
932908,49.0,4.0,,,,2.0,,,,,1.0,1.0,Low Use
932921,6.0,1.0,,,,,,,,,,,Very Low Use
932929,3.0,3.0,,,,,2.0,,,,,2.0,Very Low Use
932936,,,,,,1.0,1.0,,,,,1.0,Very Low Use
932958,,,,1.0,,,,,,,,,Very Low Use
932968,,,,,,,,,,,,1.0,Very Low Use
932978,,,,,,1.0,,,,,,1.0,Very Low Use
932987,300.0,249.0,,,1.0,2.0,1.0,,,,,1.0,Very High Use
932993,,,,,,,,,,,,1.0,Very Low Use
933002,,,1.0,,,,,,,,,,Very Low Use
933003,,,1.0,,,,,,,,,,Very Low Use
933004,,,1.0,,,,,,,,,,Very Low Use
933008,,,,,,,1.0,,,,,,Very Low Use
933009,4.0,4.0,,,1.0,,,,,,,,Very Low Use
933034,,,,,,,,,,,,1.0,Very Low Use
933068,,,,,,,,,,,,1.0,Very Low Use
933070,,,,,1.0,,,,,,,2.0,Very Low Use
933096,,,,,2.0,,,,,,,,Very Low Use
933103,209.0,2.0,,,1.0,,,,,,1.0,2.0,High Use
933105,146.0,1.0,,,,,,,,,1.0,2.0,Medium Use
933107,,,,,,,1.0,,,,,,Very Low Use
933109,,,,,,1.0,,,,,,,Very Low Use
933117,44.0,1.0,,,1.0,,,,,,1.0,1.0,Low Use
933119,44.0,1.0,,,1.0,,,,,,1.0,1.0,Low Use
933122,,,,1.0,,,,,,,,,Very Low Use
933123,,,,1.0,1.0,,,,,,,,Very Low Use
933127,,,,,,,,,,,1.0,1.0,Very Low Use
933128,,,,,,,,,,,1.0,1.0,Very Low Use
933163,,,,,,,1.0,,,,,2.0,Very Low Use
933178,1.0,1.0,,,,,,,,,,,Very Low Use
933214,33.0,5.0,,,,3.0,2.0,,,,1.0,4.0,Low Use
933226,14.0,2.0,,,2.0,,,,,,,1.0,Very Low Use
933237,1.0,1.0,,,,,,,,,,,Very Low Use
933247,,,,,,,1.0,,,,,,Very Low Use
933258,,,,,,,1.0,,,,,,Very Low Use
933265,32.0,1.0,,,1.0,,,,,,,1.0,Low Use
933267,32.0,1.0,,,1.0,,,,,,,1.0,Low Use
933317,,,,,,,1.0,,,,,,Very Low Use
933325,,,1.0,,,,,,,,,,Very Low Use
933399,,,,,,,1.0,,,,,,Very Low Use
933401,,,,,,,,,1.0,,,,Very Low Use
933405,,,,,1.0,,,,,,,1.0,Very Low Use
933411,3.0,3.0,,,1.0,,2.0,,,,,1.0,Very Low Use
933426,,,,,1.0,,,,,,,1.0,Very Low Use
933450,45.0,3.0,,,,,,,,,,3.0,Low Use
933468,35.0,1.0,,,,,,,,,,1.0,Low Use
933507,8.0,4.0,,,3.0,,3.0,,,,,3.0,Very Low Use
933512,,,,,,,,,,,,1.0,Very Low Use
933513,,,,,,,,,,,,1.0,Very Low Use
933522,1.0,1.0,,,,,,,,,,,Very Low Use
933526,40.0,1.0,,,,,,,,,1.0,1.0,Low Use
933529,,,,,,,,,,,,1.0,Very Low Use
933530,,,,,,,,,,,,1.0,Very Low Use
933533,359.0,203.0,,,,1.0,,,,,,1.0,Very High Use
933535,,,,,2.0,,,,,,,1.0,Very Low Use
933536,,,,,2.0,,,,,,,1.0,Very Low Use
933540,6.0,1.0,,,1.0,,,,,,,1.0,Very Low Use
933541,6.0,1.0,,,1.0,1.0,,,,,,1.0,Very Low Use
933542,6.0,1.0,,,1.0,,,,,,,1.0,Very Low Use
933543,6.0,1.0,,,1.0,,,,,,,1.0,Very Low Use
933557,1.0,1.0,,,,,,,,,,,Very Low Use
933561,,,,,2.0,,,,,,,2.0,Very Low Use
933566,,,,,,1.0,,,,,,,Very Low Use
933567,,,,,1.0,,,,,,,,Very Low Use
933599,52.0,2.0,,,1.0,,,,,,,,Low Use
933600,1.0,1.0,,,,,,,,,,,Very Low Use
933617,,,,,,,,,,,,1.0,Very Low Use
933647,,,,,,,,,1.0,,,1.0,Very Low Use
933651,,,,,,,,,,,,1.0,Very Low Use
933653,,,1.0,,,1.0,,,,,,,Very Low Use
933655,,,,,,,1.0,,,,,,Very Low Use
933656,,,,,,,1.0,,,,,,Very Low Use
933676,,,,,1.0,,,,,,1.0,,Very Low Use
933677,,,,,1.0,1.0,,,,,1.0,1.0,Very Low Use
933678,,,,,1.0,1.0,,,,,1.0,1.0,Very Low Use
933696,,,,,,,1.0,,,,1.0,,Very Low Use
933697,,,,,,,1.0,,,,1.0,,Very Low Use
933698,,,,,,,,,,,1.0,,Very Low Use
933699,,,,,,,1.0,,,,1.0,,Very Low Use
933706,,,,,,,,,,,1.0,,Very Low Use
933711,,,,,,,,,,,1.0,,Very Low Use
933794,1.0,1.0,,,,,,,,,,,Very Low Use
933811,,,,,2.0,,,,,,,1.0,Very Low Use
933829,2.0,2.0,,,,1.0,,,,,,,Very Low Use
933832,9.0,1.0,1.0,,1.0,1.0,,,,,,1.0,Very Low Use
933834,,,,,1.0,,,,,,,1.0,Very Low Use
933835,,,,,1.0,,,,,,,,Very Low Use
933837,52.0,10.0,,1.0,1.0,,,,,,,,Low Use
933855,9.0,1.0,,,,,,,,,,1.0,Very Low Use
933882,2.0,2.0,,,,,,,,,,,Very Low Use
933883,,,,2.0,,,1.0,,,,,,Very Low Use
933892,10.0,4.0,,,,,,,,,,,Very Low Use
933929,4.0,1.0,,,,,1.0,,,,,,Very Low Use
933930,,,,,,,1.0,,,,,,Very Low Use
933943,,,,,,,1.0,,,,,,Very Low Use
933983,,,,,,,,,,,,1.0,Very Low Use
934001,,,,,,,1.0,,,,,,Very Low Use
934025,22.0,22.0,,,,,,,,,1.0,,Low Use
934081,,,,,,,,,,,,1.0,Very Low Use
934085,,,,,1.0,,,,,,,,Very Low Use
934099,7.0,1.0,,,,,,,,,,,Very Low Use
934165,,,,,,,1.0,,,,,1.0,Very Low Use
934188,,,,,1.0,1.0,,,,,,1.0,Very Low Use
934195,,,,,,,,,1.0,,,,Very Low Use
934201,,,,,,,,,,,,1.0,Very Low Use
934216,,,,,,,1.0,,,,,2.0,Very Low Use
934233,,,,1.0,,,,,,,,2.0,Very Low Use
934234,3.0,2.0,,,,1.0,2.0,,,,,,Very Low Use
934252,17.0,2.0,,,,1.0,,,,,,,Very Low Use
934259,,,,,,,1.0,,,,,,Very Low Use
934277,145.0,9.0,,,,,,,,,,1.0,Medium Use
934292,78.0,1.0,,,1.0,,,,,,1.0,,Low Use
934298,,,,,,,1.0,,,,,,Very Low Use
934299,78.0,1.0,,,1.0,,,,,,1.0,,Low Use
934300,7.0,3.0,,,,,2.0,,,,1.0,,Very Low Use
934307,34.0,11.0,,,,,1.0,,,,,1.0,Low Use
934312,41.0,1.0,,,,,,,,,1.0,1.0,Low Use
934352,,,1.0,,,,,,,,,1.0,Very Low Use
934366,32.0,3.0,,1.0,1.0,,,,,,,,Low Use
934375,,,,1.0,1.0,,1.0,,,,,1.0,Very Low Use
934403,66.0,1.0,,,,1.0,1.0,,,,1.0,,Low Use
934405,48.0,1.0,,,2.0,,,,,,,1.0,Low Use
934426,,,,1.0,,,,,,,,1.0,Very Low Use
934435,3.0,3.0,,,,,3.0,,,,,1.0,Very Low Use
934439,,,,,1.0,,,,,,,,Very Low Use
934449,,,,1.0,,,,,,,,,Very Low Use
934464,99.0,97.0,,,,1.0,,,,,,,High Use
934484,,,,,,,2.0,,,,,,Very Low Use
934486,,,,,,,,,,1.0,1.0,1.0,Very Low Use
934487,107.0,25.0,,1.0,,1.0,3.0,,,,,1.0,Medium Use
934504,62.0,58.0,,,2.0,1.0,,,,,,2.0,Medium Use
934523,,,1.0,,,,,,,,,,Very Low Use
934524,,,1.0,,,,,,,,,,Very Low Use
934525,,,1.0,,,,,,,,,,Very Low Use
934526,,,1.0,,,,,,,,,,Very Low Use
934527,,,,,,,2.0,,,,,,Very Low Use
934534,15.0,1.0,,,,1.0,,,,,,3.0,Very Low Use
934549,,,,,,,2.0,,,,,,Very Low Use
934550,1.0,1.0,,,2.0,,1.0,,,,,1.0,Very Low Use
934552,181.0,2.0,,,,,,,,,1.0,,High Use
934553,5.0,5.0,,,,,,,,,,,Very Low Use
934554,1.0,1.0,,,,,,,,,,,Very Low Use
934568,,,,,,,1.0,,,,,,Very Low Use
934577,,,,,,,1.0,,,,,,Very Low Use
934592,13.0,13.0,,,,,,,,,,3.0,Low Use
934597,2.0,2.0,,,,,,,,,,,Very Low Use
934610,7.0,1.0,,,,,,,,,,,Very Low Use
934630,,,,,,,1.0,,,,,,Very Low Use
934644,,,,,,,1.0,,,,,,Very Low Use
934676,1.0,1.0,,1.0,1.0,1.0,,,,,,2.0,Very Low Use
934687,4.0,1.0,,,,,,,,,,,Very Low Use
934722,4.0,1.0,,,,,1.0,,,,,,Very Low Use
934754,194.0,1.0,,,,1.0,,,,,1.0,1.0,High Use
934850,,,,,1.0,,,,,,,,Very Low Use
934851,120.0,84.0,,,,,4.0,,,,,,High Use
934873,,,,,,,1.0,,,,,,Very Low Use
934891,8.0,2.0,,,,,1.0,,,,,1.0,Very Low Use
934892,2.0,2.0,,,,,2.0,,,,,,Very Low Use
934895,,,,,2.0,,,,,,,,Very Low Use
934920,,,,,,,1.0,,,,,2.0,Very Low Use
934922,13.0,2.0,,,,,2.0,,,,,4.0,Very Low Use
934923,,,,,,,1.0,,,,,3.0,Very Low Use
934957,66.0,66.0,,,1.0,,,,1.0,,,2.0,Medium Use
934958,4.0,1.0,,,,,,,,,,,Very Low Use
934960,,,,,,,,,,,,1.0,Very Low Use
934961,,,,,1.0,,,,,,,1.0,Very Low Use
934963,,,,,,,,,,,,1.0,Very Low Use
934964,,,,,,,,,,,,1.0,Very Low Use
934965,,,,,,,,,,,,1.0,Very Low Use
934971,36.0,15.0,,,,4.0,1.0,,,,,4.0,Low Use
934986,55.0,1.0,,,,,,,,,1.0,2.0,Low Use
935013,,,,,2.0,,,,,,,1.0,Very Low Use
935020,,,,,1.0,,,,,,,1.0,Very Low Use
935021,,,,,1.0,,,,,,,1.0,Very Low Use
935032,74.0,1.0,,,1.0,1.0,,,,,1.0,1.0,Low Use
935033,74.0,1.0,,,1.0,1.0,,,,,1.0,1.0,Low Use
935035,74.0,1.0,,,1.0,1.0,,,,,1.0,1.0,Low Use
