"personalid","projecttype_1_bednights","projecttype_1_count","projecttype_2_count","projecttype_3_count","projecttype_4_count","projecttype_6_count","projecttype_7_count","projecttype_8_count","projecttype_10_count","projecttype_12_count","projecttype_13_count","projecttype_14_count"
4974,,,,,2,,,,,,,
5007,60,8,,,,,,,,,,
5013,,,,,,1,,,,,,
5028,,,,,,,1,,,,,
5132,72,3,,,,,,,,,,1
5171,1,1,,,,,,,,,,
5185,11,2,,1,1,,,,,,,1
5192,,,,,1,1,,,,,,1
5265,,,,,1,,,,,,,1
5341,,,,1,,,,,,,1,
5386,23,1,,,,1,,,,,,1
5415,111,5,,1,,1,,,,,,
5433,,,,,1,,,,,,,1
5459,,,,,1,,,,,,,1
5473,24,24,,,,,1,,,,,
5540,,,,,1,,,,,,,1
5578,1,1,,,,,1,,,,,2
5604,,,,,,,,,,,,1
5644,,,,,1,,,,,,,
5671,4,1,,,,,,,,,,
5688,,,,,1,,,,,,,
5725,175,1,,,1,,2,,,,,2
5766,,,,,,,1,,,,,
5798,,,,,,,1,,,,,
5813,17,3,,,,,,,,,,1
5883,,,,,,,,,,,,1
5910,64,25,,,1,,,,,,,1
5920,1,1,,,,,,,,,,
5930,46,9,,,,1,,,,,,2
5956,10,2,,,,,,,,,,
5970,,,,,,,,,,,,1
5971,,,,,,,,,,,,1
5972,,,,,,,,,,,,1
5997,,,,,,,,,,,,2
6121,,,,,1,,,,,,,
6126,,,,,,,,,,,,1
6147,,,,,,,,,,,,1
6153,14,1,,,,,3,,,,,1
6200,,,,,,,,,,,1,
6208,,,,1,1,,,,,,,
6224,1,1,,,,,,,,,,
6231,,,,,,,,,,,,1
6274,20,3,,,,,,,,,,
6325,,,,,,,,,,,,1
6326,,,,,,,,,,,,1
6331,,,,,,,,,,,,1
6346,14,3,,,,,1,,,,,1
6350,8,2,,,,1,,,,,,2
6351,,,,,,,,,,,,1
6362,,,,,1,,1,,,,,1
6396,11,11,,,,,2,,,,,
6464,,,,1,,,,,,,,
6469,,,,,,,,,,,,1
6485,182,172,,,1,1,4,,,,,2
6565,,,,,,,,,,,,2
6596,11,1,,,,,,,,,,1
6601,,,,,1,,,,,,,
6623,3,3,,,,,,,,,,
6703,,,,,1,,,,,,,
6730,93,1,1,,,,,,,,,1
6738,,,,,,,2,,,,,2
6742,91,3,,,,1,1,,,,,
6751,7,1,,,2,,1,,,,,
6795,,,,,,1,,,,,,1
6893,1,1,,,3,,,,,,1,
6952,,,,,1,,,,,,,1
6995,97,3,,,,,,,,,,
7033,,,,,,,,,,,1,1
7076,250,249,,,,1,,,,,,
7092,47,37,,,,2,,,,,,
7181,1,1,1,,,,,,,,,2
7193,,,,,1,,,,,,,
7259,,,,1,,,,,,,,
7260,95,1,,,,,,,,,,
7311,172,2,,,,1,2,,,,,2
7331,8,2,,,,,,,,,,3
7336,250,249,,,2,1,,,,,,
7337,,,,,1,,,,,,,
7384,,,,,,,1,,,,,
