"personalid","projecttype_1_bednights","projecttype_1_count","projecttype_2_count","projecttype_3_count","projecttype_4_count","projecttype_6_count","projecttype_7_count","projecttype_8_count","projecttype_10_count","projecttype_12_count","projecttype_13_count","projecttype_14_count"
900883,2,2,,,1,,1,,,,,1
900886,36,3,,,,,,,,,,1
900903,,,,,,,,,,,,2
900928,,,,,,,,,,,,1
900962,16,16,,,1,,,,,,,
900971,1,1,,,1,,,,,,1,1
900972,1,1,,,1,,,,,,1,1
900973,1,1,,,1,,,,,,1,1
900974,1,1,,,1,,,,,,1,1
900991,97,1,,,,,,,,,,1
900992,3,1,1,,,,,,,,1,1
900993,,,,,,,1,,,,,
901043,,,,,1,1,,,,,,1
901053,,,,,,,2,,,,,
901168,100,1,,,,,1,,,,,1
901175,,,,,,,,,,,,1
901178,6,1,,,1,,,,,,,1
901184,12,1,,,1,,,,,,,1
901206,,,,,,,,,,,,1
901226,,,,,,,,,,,,1
901240,,,,,1,,,,,,,1
901257,,,,,1,,,,,,,
901280,,,,,,,1,,,,,
901292,,,,,1,1,,,,,,
901395,,,,,,,1,,,,,
901514,,,,,,,2,,,,,
901530,17,2,,,,,,,,,,
901575,,,,,,,,,,,1,
901580,,,,,,,1,,,,,
901594,,,,,,,,,,,,1
901633,,,,,1,,,,,,,1
901668,,,,,,,1,,,,,
901697,,,,,2,,,,,,,1
901785,62,61,,,1,,,,,,,
901830,,,,,1,,,,,,,
901864,,,,,1,,,,,,,
901877,,,,,1,,,,,,,1
901896,,,,,,,,,,,1,
901905,127,3,,,,,,,,,,2
901909,3,3,,,3,,,,,,,
901930,,,,,,,,,,,1,
901932,15,1,,,,,,,,,1,1
901951,97,1,,,,,1,,,,,2
901964,105,7,,,,,,,,,,
902004,20,1,,,,,,,,,,1
902086,,,,,,1,,,,,,
902088,115,1,,1,,,,,,,,2
902093,5,5,,,,,1,,,,,1
902137,5,5,,,,,,,,,,1
902146,60,1,,,,,,,,,,
902151,,,,,3,,,,,,,1
902158,1,1,,,,,,,,,,1
902165,,,,,,,1,,,,,
902185,,,,,,,1,,,,,
902263,111,6,,,,,1,,,,,1
902264,117,5,,,,,1,,,,,1
902285,,,1,,,,,,,,1,1
902316,14,4,,,,1,,,,,1,
902330,1,1,,,1,,,,,,,1
902357,,,,,,,3,,,,,
902363,,,,,1,1,,,,,,1
902436,,,,,,,1,,,,,
902481,,,,,,,,,,,,1
902488,,,,,1,,,,,,,1
902503,,,,,1,,,,,,,
902506,7,1,1,,,,,,,,,2
902519,,,,,1,,,,,,,
902526,,,,,,,1,,,,,
902528,,,,,,,,,,,,1
902547,1,1,,,,,,,,,,
902562,10,2,,,1,,,,,,,
902563,,,,,,,6,,,,,1
902589,,,,,,,1,,,,,
902613,,,,1,,,1,,,,,1
902618,1,1,,,,,,,,,,
902651,,,,,,,,,,,,1
902691,109,23,,,,2,1,,,,,
902698,1,1,,,,,,,,,,
902699,14,1,,,,1,,,,,,1
902710,,,,,,,,,,,,1
902725,,,,,1,,,,,,,
902765,,,,,,,,,,,,1
902823,,,,,,,,,1,,,
902863,68,3,1,,,,,,,,,2
902932,2,2,,,,,2,,,,,
902954,128,1,,1,,,,,,,,2
902955,128,1,,1,,,,,,,,2
902964,,,,,1,,,,,,,1
902974,,,,,1,,,,,,,
903074,,,,,1,,,,,,,
903114,,,,,,,1,,,,,
903161,,,,,,,,,,,,1
903231,,,,,1,,,,,,,1
903238,,,,,,,,,,,,1
903239,,,,,,,,,,,,1
903253,,,,1,,,,,,,,
903313,51,43,,1,,2,1,,,,,
903379,,,,,,,2,,,,,
903399,,,,,1,,,,,,1,1
903453,,,,,,,1,,,,,
903479,153,28,,,,,,,,,,2
903500,51,1,,,,,1,,,,,1
903521,,,,,,,,,,,1,
903536,1,1,,,,,,,,,,
903542,,,1,,,,,,,,1,
903569,50,2,,,,,1,,,,,
903601,,,,,,,1,,,,,1
903606,,,,,,,1,,,,,1
903607,,,,,,,1,,,,,1
903693,3,3,,,,,,,,,,
903811,1,1,,,1,,,,,,,1
903812,1,1,,,1,,,,,,,1
903826,,,,,,,1,,,,,
903837,50,3,,,,,,,,,,
903838,,,,,,,,,,,,3
903839,,,,,,,,,,,,3
903840,,,,,,,,,,,,3
903854,,,,,1,,,,,,,
903869,,,,,1,,1,,,,,
903877,,,1,,1,,,,,,,1
903886,73,16,,,,,2,,,,,1
903912,,,,,,,1,,,,,1
903928,,,,,,1,1,,,,1,
903929,,,,,1,,,,,,,1
903930,,,,,,,,,,,,2
903954,,,,,,,,,,,,2
903987,,,,,2,,,,,,,1
903996,,,,,,,,,1,,1,
904007,,,,,,,1,,,,,
904013,,,,,,,,,,,,1
904027,,,,,,,,,,,,1
904040,,,,,,,1,,,,,1
904079,,,,,,,2,,,,,
904117,142,62,,,1,,,,,,,
904128,,,,,1,,,,,,,1
904146,,,,,1,,,,,,,
904242,,,,,,,,,1,,1,
904243,,,,,,,,,1,,1,
904244,,,,,,,,,1,,1,
904254,81,14,,,,,,,,,,2
904276,14,2,,,,,,,,,,1
904293,70,13,,,1,1,1,,,,,2
904294,,,,,,,,,,,,1
904311,89,1,,,,,,,,,,
904365,85,1,,,1,,2,,,,,1
904366,72,1,,,1,,,,,,,1
904367,,,1,,,,,,,,,
904377,,,,,1,,,,,,,
904389,,,,1,,,,,,,,
904398,,,,,1,,,,,,,
904425,18,1,,,1,,2,,,,,3
904468,1,1,,,,,,,,,,
904479,1,1,,,1,,1,,,,,1
904515,,,,,,,,,,,,1
904534,57,1,,,,,,,,,,
904585,36,1,,,,,1,,,,,1
904596,,,1,,,,,,,,,
904617,,,,,1,,,,,,,
904628,99,1,,,,,,,,,,1
904631,,,,,,,1,,,,,
904632,30,1,,,,1,,,,,,
904636,,,,,1,,,,,,,
904639,38,38,,,,,,,,,,
904656,2,1,,,,,2,,,,,
904667,181,2,,,,,,,,,,1
904668,1,1,,,,,,,,,,1
904771,,,,,,,,,,,,1
904772,,,,,,,,,,,,1
904782,,,,,,,1,,,,,
904785,27,20,,,2,,2,,,,,1
904789,34,1,,,1,,,,,,1,2
904792,14,1,,,1,,,,,,,1
904794,,,,,,,,,,,1,1
904808,,,,,,,,,,,,1
904843,10,3,,,,,,,,,,1
904917,1,1,,,1,,,,,,,
904953,,,,,,,,,,,,1
904982,2,2,,,,,,,,,,
904985,,,,,,,,,,,,2
905033,,,,,,,1,,,,,
905047,,,,,,,1,,,,,
905048,150,84,,1,,2,,,,,,1
905052,77,51,,,,,,,,,,
905054,12,1,,,,,,,,,,1
905056,,,,,2,,,,,,,1
905061,,,,,,,1,,,,,
905082,2,2,,,1,2,,,,,1,1
905176,,,,,,,1,,,,,1
905277,20,2,,,,,,,,,,1
905279,14,1,,1,,,,,,,,1
905298,,,1,,,,,,,,,1
905305,22,22,,,,,,,,,,
905401,,,,,,,1,,1,,,2
905406,,,,,1,,,,,,,
905408,,,,1,1,,,,,,,2
905417,171,1,,,,,,,,,,1
905459,,,,,2,,,,,,,
905460,,,,,2,,,,,,,
905471,1,1,,,,1,1,,,,,
905474,1,1,,,1,,,,,,,1
905475,1,1,,,1,,,,,,,1
905509,2,2,,,,1,,,,,,
905513,87,1,,,,,,,,,1,2
905716,16,2,,,,,,,,,,1
905778,,,,,1,,,,,,,1
905786,4,3,,,1,1,,,,,,
905827,,,,,,,,,,,,1
905834,,,,,,,1,,,,,
905853,17,1,,,,,,,,,,2
905861,,,,,,,1,,,,,
905879,,,,,,,,,,,,1
905895,33,1,,,,1,,,,,,1
905896,60,1,,,,,,,,,,1
905933,,,,,,,,,,,,1
905939,,,,1,,,,,,,,
905962,,,,,,,,,,,,1
905965,,,,,,1,,,,,,
905993,9,1,,,,,,,,,,2
906008,,,,,1,,,,,,,
906010,,,,,,,,,,,,1
906029,,,,,1,1,,,,,,1
906042,61,2,,,,,1,,,,,
906048,,,,,,,,,,,,1
906049,,,,,,,,,,,,1
906073,,,,,,,,,,,,2
906093,5,5,,,1,,1,,,,,1
906152,3,2,,,,,,,,,,
906163,,,,,,,,,1,,,
906168,,,,,1,,,,,,,
906215,,,,,,,,,,,,1
906281,,,,,1,,,,,,,
906283,71,2,,,,1,,,,,,1
906289,1,1,,,1,,,,,,,
906290,1,1,,1,,,,,,,2,
906323,,,,,2,1,,,,,,1
906365,3,1,1,,,,,,,,,1
906366,,,,,,,1,,,,,
906372,4,1,,,,,,,,,,
906435,,,,,1,,,,,,,
906449,,,,,,,,,,,,1
906463,,,,,,,1,,,,,
906470,1,1,,,1,,1,,,,,
906491,,,,,,,,,,,,1
906493,,,,,1,,,,,,,1
906506,,,1,,,,,,,,,
906507,,,1,,,,,,,,,
906516,,,,,,,,,,,,1
906573,,,,,2,,1,,,,,
906575,1,1,,,,,1,,,,,1
906577,,,,,,,,,,,,1
906578,,,,,,,,,,,,1
906589,,,,1,,,,,,,,2
906591,,,,,,,1,,,,,1
906605,,,,,1,,,,,,,
906630,28,2,,,2,,,,,,1,1
906647,,,,,1,,,,,,,
906656,,,1,,,,,,,,1,
906659,,,1,,,,,,,,,1
906681,,,,,,,,,,,,1
906690,93,11,,1,1,2,2,,,,,1
906727,,,,,1,,1,,,,,1
906785,,,,,1,,,,,,,1
906800,11,2,,,1,,,,,,,1
906808,,,,1,,,,,,,,
906810,4,2,,,,,,,,,,
906815,,,,,,,,,,,,1
906816,21,21,,,,,,,,,,
906849,113,1,,,,,1,,,,,1
906863,27,1,,,,1,,,,,,1
906875,,,,,,,1,,,,,1
906881,,,,,1,,,,,,,2
906895,,,,,,,,,,,,1
906913,1,1,,,,,,,,,,
906922,,,,1,,,,,,,,
906930,,,,,1,,,,,,,
906937,,,,,,,,,,,,2
906970,205,1,,,1,,,,,,,2
906971,205,1,,,1,,,,,,,2
906998,,,,,,,1,,,,,
907022,,,,,1,,,,,,,
907063,37,1,,,,,,,,,,1
907068,,,,,,,1,,,,,
907100,16,4,,,,2,2,,,,,2
907132,,,,,,,1,,,,,
907164,170,3,,,,1,,,,,,
907201,,,,,,,,,,,,2
907220,,,,,,,1,,,,,1
907226,,,,,,1,,,,,,1
907254,,,,,1,,,,,,,
907374,43,1,,,,,,,,,1,1
907402,7,2,,,1,,,,,,,1
907409,190,2,,,,,,,,,,1
907472,,,,,,,1,,,,,
907486,,,,,1,,,,,,,1
907498,1,1,,,,,,,,,,
907500,,,,,1,,1,,,,,
907507,,,,,,,,,,,,1
907511,,,,,,,,,,,,1
907526,94,1,,,,,,,,,,1
907540,,,,,1,,,,,,,1
907588,172,6,,1,,1,1,,,,,
907604,130,3,,,,1,,,,,,
907646,,,,,1,,,,,,,
907651,,,,,,,1,,,,,1
907653,136,1,,,,,,,,,1,2
907707,,,,,,,1,,,,,
907765,,,,,,,1,,,,,2
907767,3,2,,,2,,4,,,,,3
907798,43,1,,,1,,,,,,1,1
907802,43,1,,,1,,,,,,1,1
907810,,,,,,,,,,,1,
907864,16,2,,,,,,,,,,1
907880,30,1,,,1,,1,,,,,1
907887,,,,,,,,,,,,1
907896,,,,,1,,,,,,,
907899,42,13,,,1,,2,,,,,
907930,130,44,,,,,,,,,,1
907932,4,2,,1,1,1,,,,,,1
907938,120,2,,,1,,1,,,,1,3
907942,,,,,,,,,,,,1
907995,,,,,1,,,,,,,
908010,,,,,,,1,,,,,
908045,,,,,1,,,,,,,1
908060,,,,,,,,,,,,2
908141,8,3,,,,,,,,,,1
908142,41,4,,,,,1,,,,,
908166,,,,,,,,,,,,1
908195,,,,,,,1,,,,,1
908196,,,,,,,,,,,,1
908210,1,1,,,,,1,,,,,
908214,30,1,,,,,,,,,,1
908230,30,1,,,,,1,,,,,1
908251,,,,1,1,1,,,,,,
908273,24,3,,,,,1,,,,,1
908291,54,2,,1,,,1,,,,,
908357,,,,,,,,,,,,1
908361,138,2,,,1,,2,,,,1,2
908365,,,,,1,,,,,,,1
908489,58,2,,1,1,,2,,,,,1
908558,,,,,,,1,,,,,
908607,27,13,,,,,,,,,,
908614,15,15,,,,,1,,,,,
908631,,,,,,,1,,,,,
908702,,,,,1,,,,,,,1
908714,8,1,,,,,,,,,,
908732,25,1,,,,2,,,,,,1
908758,10,1,,,,,,,,,,
908771,137,1,,,,,,,,,,1
908775,,,,,,,,,,,,1
908832,,,,,1,,,,,,,
908847,,,,,,,,,,,,1
908848,,,,,,,,,,,,1
908852,,,,1,,,,,,,,
908854,,,,,2,,4,,,,,2
908884,139,1,1,,1,,1,,,,,1
908885,,,,,1,,,,,,,
908904,46,1,,,,,,,,,,1
908921,53,53,,,,,1,,,,,
908928,22,21,,,,1,1,,,,,
908958,,,,1,,,,,,,,
909014,8,1,,1,2,,,,,,,1
909023,,,,1,1,,,,,,,
909036,69,23,,,1,,,,,,,1
909072,,,,1,,1,,,,,,
909075,54,1,,,,,,,,,,1
909103,,,,,1,,,,,,,
909119,,,,,,,,,,,,1
909136,,,,,,,1,,,,,3
909146,,,,,,,,,,,,1
909193,,,,,1,,1,,,,,1
909194,,,,,,,1,,,,1,1
909197,27,1,,,,,,,,,2,
909213,179,178,,,,,,,,,,
909252,2,1,,,1,,,,1,,1,1
909262,1,1,,,,,,,,,,
909266,78,1,,,1,1,,,,,,1
909271,,,,,,,,,,,,1
909274,,,,,,1,1,,,,,
909297,,,,,,,1,,,,,1
909335,,,1,,,,,,,,,
909337,17,5,,,,,,,,,,
909340,,,,,1,,,,,,,1
909351,,,,,,,,,,1,,
909385,120,4,,,,,1,,,,,4
909431,,,,,,,,,,,,1
909443,138,2,,,1,,,,,,1,2
909444,5,1,,,1,,,,,,1,2
909451,,,,,,,,,,,,1
909483,,,,,1,,,,,,,
909490,,,,,,,1,,,,,
909506,5,5,,,,,,,,,,
909552,8,2,,,,,,,,,,
909556,55,1,,,,,1,,,,,1
909572,,,,,,,,,,,1,
909578,,,,1,,,,,,,,
909579,,,,1,,,,,,,,
909582,,,,,,,1,,,,,
909596,,,,1,2,,1,,,,,2
909610,4,4,,,,,,,,,,
909676,11,2,,,,,,,,,,1
909692,18,4,,,,,,,,,,
909696,,,,,1,,,,,,,
909735,1,1,,,,,,,,,,
909867,1,1,,,,,,,,,,1
909880,,,,1,,,,,,,,
909887,9,1,,,,,,,,,,1
909893,116,1,,,1,,1,,,,1,1
909905,,,,,3,,,,,,,
909915,31,1,,,,1,,,,,,1
909917,,,,1,1,,,,,,,1
909936,,,,,,1,,,,,,
909969,,,,,,,1,,,,,
910007,,,,,,1,,,,,,
910033,,,,,,,,,,,,1
910042,,,,,,,,,,,,1
910058,4,1,,,,,,,,,,
910065,3,1,,,2,1,2,,,,,
910153,142,1,,,,,,,,,,1
910154,142,1,,,,,,,,,,1
910197,,,,,,,,,,,,1
910203,,,,,1,,,,,,,
910216,50,2,,,,,,,,,,
910217,,,,,,,1,,,,,
910273,,,,,,,1,,,,,
910320,23,3,,,,1,1,,,,,
910330,,,,1,,,,,,,,
910343,,,,,,,1,,,,,
910416,72,71,,,,2,,,,,,1
910418,62,1,,,1,,,,,,,2
910446,136,1,,,,,,,,,1,2
910447,136,1,,,,,,,,,1,2
910480,,,,,,,,,,,,1
910489,,,,,,,,,,,,1
910541,,,,,1,,2,,,,,3
910577,,,,,,,,,,,,1
910603,30,1,,,1,,,,,,,1
910604,,,,,1,,,,,,,1
910632,12,1,,,1,,,,,,,
910661,15,2,,,,,,,,,,
910666,,,,,,,,,,,,1
910668,,,,,,,,,,,,1
910692,59,14,,,,2,,,,,1,
910693,,,,,2,2,,,,,,1
910694,,,,1,,,,,,,,
910742,,,,,,,1,,,,,
910776,219,6,,,,,,,,,,
910784,54,1,,,,,,,,,,2
910785,54,1,,,,,,,,,,2
910797,,,,,1,,1,,,,,1
910814,,,,,,,,,,,,1
910815,,,,,1,,,,,,,1
910834,,,,,,,,,,,,1
910838,1,1,,,,,,,,,,
910846,,,,,1,,,,,,,
910849,1,1,,,,,,,,,,
910861,3,3,,1,1,2,2,,,,,
910890,,,,,,,,,,,,1
910908,1,1,,,,,1,,,,,2
910909,,,,,,,1,,,,,
910915,,,,,,,1,,,,,
910920,,,,,,,1,,,,,
910921,89,1,,,,,1,,,,,1
910924,,,,,,,1,,,,,
911003,1,1,,,,,,,,,,1
911008,133,1,,,,1,2,,,,,1
911024,,,,,,2,,,,,,
911049,21,18,,,2,,4,,,,,1
911052,,,,,,,,,,,,1
911056,,,,,1,,,,,,,
911094,,,,,1,1,1,,,1,,
911114,24,1,,,,,,,,,,
911122,4,3,,,,,1,,,,,
911152,,,,,1,,,,,,,
911154,,,,,,,1,,,,,
911158,,,,,,,1,,,,,
911166,,,,,,,1,,,,,
911169,,,,,3,,,,,,,1
911176,,,,,,,1,,,,,
911193,,,1,,,,,,,,,1
911196,11,3,,,,,,,,,,1
911244,,,,,,,1,,,,,1
911245,107,82,,,,1,1,,,,,
911246,,,,,1,,,,,,,
911256,5,1,,,1,,1,,,,,1
911301,,,,,1,,,,,,,
911310,,,,,3,,,,,,,1
911322,23,1,,,,,,,,,,
911328,,,,,1,,,,,,,1
911341,165,1,,,,,,,,,,2
911372,,,,,,,1,,,,,
911385,1,1,,,,,,,,,,
911445,,,,,1,,,,,,,
911450,,,,,,,,,1,,,
911465,,,,,,,,,,,1,1
911474,,,,,1,1,,,,,,1
911480,329,213,,,,,1,,,,,1
911487,5,4,,2,,,,,,,,
911511,,,,,,,1,,,,,
911525,,,,,,,1,,,,,
911527,,,,,,,1,,,,,
911539,,,,,1,,,,,,,1
911540,,,,,1,,,,,,,1
911548,,,,,1,,,,,,,1
911551,,,,,,,1,,,,,
911568,,,,,1,,,,,,,
911569,,,,1,,,1,,,,,
911575,122,1,,,,,,,,,,1
911588,9,2,,,,,,,,,,1
911589,,,,1,,,,,,,,
911596,,,,,,,,,,,,1
911608,35,1,1,,,,,,,,,1
911620,,,,,2,,,,,,,1
911624,,,,,1,,,,,,,1
911631,,,,,1,,,,,,,1
911633,,,,,1,1,1,,,,,
911643,83,6,,,,,,,,,,2
911644,4,3,,,,,,,,,,
911649,,,,,1,1,,,,,,1
911659,,,,1,1,2,2,,,,,2
911666,2,2,1,,2,1,3,,,,,1
911686,,,,,,,,,,1,,
911687,,,,,,,,,,1,,
911688,,,,,,,,,,1,,
911691,,,,1,,,,,,,,
911704,92,1,,,1,,,,,,1,2
911706,,,,,1,,,,,,,1
911711,,,,,,,1,,,,,2
911733,42,1,,,,,2,,,,1,1
911757,,,,,,,1,,,,,
911774,7,2,,,1,1,2,,,,,2
911786,,,,,,,2,,,,,
911792,33,16,,,,,,,,,,1
911801,,,,,2,,1,,,,,1
911804,50,3,,1,1,,,,,,,3
911807,,,,,1,,,,,,,
911861,8,2,,,,,,,,,,2
911907,,,,,,,1,,,,,
911932,,,,,1,,,,,,,
911936,,,,,1,,,,,,,
911943,67,4,1,,,,1,,,,2,1
911961,,,,,,,,,,,,1
911962,,,,,,,,,,,1,1
911997,8,1,,,1,,,,,,,2
911999,,,,1,,,,,,,,
912046,,,,,,,1,,,,,
912058,5,5,,,,,,,,,,
912075,,,1,,,,,,,,1,1
912082,,,,,,,,,,,,1
912083,2,2,,,1,,4,,,,,2
912085,,,,,,,,,,,,1
912087,,,,,,,,,,,,1
912110,,,,,,,1,,,,,
912118,,,,,2,,,,,,,1
912120,,,,,,,1,,,,,
912138,51,8,,,,1,,,,,,
912145,,,,,,,1,,,,,
912199,66,1,,,,,2,,,,,2
912227,54,2,,,,,,,,,,
912232,4,4,,,,,,,,,,2
912233,3,3,,,,,,,,,,1
912234,317,11,,,,,,,,,,1
912236,,,,,1,,,,,,,
912248,,,,,1,1,,,,,,1
912253,14,7,,,,,,,,,,1
912263,109,4,,,,2,,,,,,3
912265,,,,,,,,,,,1,1
912267,,,,,,,6,,,,,
912284,3,3,,,,,2,,,,,1
912290,,,,,,,1,,,,,
912295,,,,,1,,,,,,,
912298,,,,,,,,,,,1,
912307,,,,,,,,,,,,1
912308,,,,,,,,,,,,1
912341,44,3,,,2,,3,,,,,2
912357,,,,,,,,1,,,,1
912371,,,,1,,,,,,,,
912383,20,1,,,,,,,,,,1
912391,,,,,1,1,,,,,,1
912399,1,1,,,,,,,,,,1
912415,,,1,,,,,,,,,
912416,,,1,,,,,,,,,
912425,24,1,,,,,,,,,,
912435,,,,,1,,2,,,,,
912436,,,,,,,,,,,,1
912536,111,3,,,1,1,1,,,,1,1
912541,,,,,,,,,,,,1
912559,,,,,,,,,,,,1
912591,7,3,,,,,,,,,,
912654,186,10,,,,1,2,,,,1,1
912661,4,1,,,,,,,,,,
912685,68,1,,,,,2,,,,,1
912719,78,1,,,,,1,,,,1,1
912736,15,4,,,,,,,,,,
912750,,,,1,,,,,,,,
912751,,,,1,,,,,,,,
912773,11,2,,,,,1,,,,,
912793,56,1,,,,,,,,,,
912850,133,1,,,1,,,,,,1,2
912888,,,,,,,,,,,,1
912909,,,,,,,,,,,,1
912910,,,,,,,,,,,,1
912911,,,,,,,,,,,,1
912913,,,,,,,,,,,,1
912914,,,,,,,,,,,,1
912915,,,,,,,,,,,,1
912916,,,,,,,,,,,,1
912932,,,,,,,,,,,,1
912991,64,7,,,,1,,,,,,2
913000,13,2,,,3,,,,,,,2
913019,,,1,,,,,,,,,
913020,,,1,,,,,,,,,
913101,158,1,,,,,2,,,,1,2
913102,158,1,,,,,,,,,1,2
913109,109,1,,,,,2,,,,,2
913111,,,,,1,,,,,,,
913131,1,1,,,,1,,,,,,1
913134,,,,,,,,,,,,1
913170,71,1,,,,1,,,,,1,
913184,179,9,,,,,,,,,,1
913205,,,,,,,2,,,,,
913209,,,,,,,1,,,,,2
913212,121,8,,,,1,,,,,2,2
913266,28,1,,,,,1,,,,,
913291,,,,,,,,,,,,2
913315,,,1,,,,,,,,,
913325,92,2,,,,,,,,,1,2
913326,92,2,,,,,,,,,1,2
913327,92,2,,,,,,,,,1,2
913335,,,,,,,1,,,,,2
913341,1,1,,,,,,,,,,1
913401,,,,,,,1,,,,,
913407,,,,,1,,,,,,,
913444,10,10,,,,,,,,,,3
913449,90,1,,,,,,,,,1,1
913450,90,1,,,,,,,,,1,1
913451,90,1,,,,,,,,,1,1
913461,26,15,,,,3,,,,,,
913485,,,,,2,,,,,,,
913519,1,1,,,,,1,,,,,
913525,,,,,,,,,,,,2
913526,,,,,,,,,,,,1
913527,,,,,,,,,,,,2
913529,,,,,,,,,,,,2
913539,,,,,,,,,,,,1
913562,,,,,,,,,,,,1
913577,48,3,,,,,,,,,,1
913579,,,,,,,1,,,,,
913592,,,,,1,,,,,,,
913619,,,,,,,,,,,,1
913629,,,1,,,,,,,,,1
913709,55,3,,,,,1,,,,,1
913711,,,,1,,,,,,,,
913712,,,,1,,,,,,,,
913713,41,2,,,,,1,,,,,
913727,,,,,,,3,,,,,1
913752,7,1,,,,,,,,,,
913757,50,6,,,1,,,,,,,1
913782,,,,,,,,,,,,1
913783,,,,,,,,,,,,1
913787,75,2,,,,,,,,,,
913790,7,7,,,,,,,,,,
913798,38,1,,,1,,,,,,1,1
913801,,,,,,,1,,,1,,1
913865,,,,,,,,,,,,1
913866,,,,,,,,,,,,1
913880,19,18,,,,1,2,,,,,2
913884,,,,,,,2,,,,,
913885,2,1,,,,,,,,,,1
913887,,,,,,,1,,,,,
913892,,,,1,,,,,,,,
913899,,,,1,,,,,,,,
913901,19,3,,,,1,2,,,,,1
913956,,,,,,,,,,,,1
913963,1,1,,,,,1,,,,,
913980,,,,,,,,,,,1,1
913994,9,2,,,1,,,,,,,
913997,,,,,1,,,,,,,
913999,,,,,,,,,,,,1
914000,,,,,,,,,,,,1
914034,,,,,1,,,,,,1,1
914035,,,,,1,,,,,,1,
914036,,,,,1,,,,,,1,1
914075,,,,1,1,,,,,,,1
914085,61,3,,,2,,,,,,,1
914099,,,,,,1,,,,,,
914100,,,,,1,,,,,,,
914103,,,,,,,,,,,,1
914117,,,,,1,,,,,,,
914120,,,,,,,,,,,,1
914132,,,,,,,,,,,,1
914150,,,,,,,1,,,,,
914158,,,,,2,,,,,,,1
914198,,,,,,,,,1,,,
914209,8,1,,,,,,,,,1,2
914227,1,1,,,,,,1,,,1,1
914228,1,1,,,,,,,,,,1
914271,1,1,,,,,,,,,,
914307,,,,1,,,,,,,,1
914309,,,,,,,,,,,,1
914310,,,,,,,,,,,,1
914311,,,,,,,,,,,,1
914312,,,,,,,,,,,,1
914313,,,,,,,,,,,,1
914347,32,1,,,,,1,,,,,1
914364,,,,,,,,,,,,2
914365,89,1,,,,1,,,,,1,3
914370,,,,,,,,1,,,,
914412,10,1,,,,,,,,,,2
914418,2,2,,,,,2,,,,,1
914437,,,,,,,,,,,,1
914438,,,,,,,,,,,,1
914488,,,,,1,,,,,,,
914492,,,,,1,,,,,,,
914497,,,,1,,,,,,,,
914506,24,2,,,,,,,,,,1
914515,,,,,,1,,,,,,1
914528,,,,,1,,,,,,,
914545,128,25,,1,,2,,,,,,
914554,,,,,,1,,,,,,
914568,,,,,1,,,,,,,1
914573,28,18,,,1,1,,,,,,1
914574,23,15,,,1,,,,,,,1
914591,2,1,,,,,1,,,,,1
914608,,,,,,,,,,,1,1
914640,,,,,,,2,,,,,
914665,,,,,1,,,,,,,1
914666,,,,,1,,,,,,,1
914667,,,,,1,,,,,,,1
914672,116,6,,,,,,,,,,2
914673,7,3,,,,,,,,,,2
914674,,,,2,,2,,,,,,1
914706,,,,,,,2,,,,,
914713,4,4,,,,,2,,,,,
914716,,,,,1,,,,,,,
914732,20,1,,,,,,,,,,
914738,3,3,,1,,,,,,,,1
914768,,,,1,,,1,,,,,
914771,129,1,,,,1,,,,,1,1
914781,11,8,,,,,1,,,,1,2
914796,,,,,,,,,,1,,
914800,,,,,,,,,,1,,
914801,,,,,,,,,,1,,
914836,79,1,,,,,,,,,,2
914877,1,1,,,,,,,,,,
914886,,,,,1,,,,,,,
914906,,,,,,,,,,,,1
914926,9,1,,,,,,,,,,
914971,,,,1,,,2,,,,,
914984,96,1,,,,,1,,,,,1
915100,,,,,,1,,,,,,
915137,,,,,,,,,,,,1
915143,,,,,,,1,,,,,
915149,,,,,,,2,,,,,2
915165,38,1,,,1,,,,,,1,1
915182,,,,,,,,,,,,1
915184,,,,,,,,,,,,1
915188,5,2,,,2,,,,,,,1
915199,45,2,,,,,,,,,,
915204,,,,,1,,,,,,,
915246,,,,,1,,,,,,,1
915247,,,,,1,,,,,,,1
915248,,,,,1,,,,,,,1
915262,16,1,,,,,,,,,,1
915263,201,1,,,,,,,,,1,2
915264,201,1,,,,,,,,,1,2
915265,201,1,,,,,,,,,1,2
915266,16,1,,,,,,,,,,1
915270,16,1,,,,,,,,,,1
915271,,,,,1,,,,,,,1
915272,,,,,1,,,,,,,1
915291,,,,,1,,,,,,,
915295,,,,,,,,,,,,1
915302,6,6,,,,1,1,,,,,
915314,1,1,,,,,,,,,,
915330,9,1,,,,,,,,,,1
915336,121,81,,,1,,2,,,,,
915351,,,,,,,1,,,,,
915362,,,,,,,,,,,,1
915376,,,,,,,,,,,,1
915411,,,,,1,,,,,,,
915417,,,,,,,,,,,1,1
915418,,,,,,,,,,,1,1
915421,62,1,,,1,,,,,,1,1
915423,62,1,,,1,,,,,,1,1
915426,73,1,,,,,,,,,1,1
915427,73,1,,,,,,,,,1,1
915428,73,1,,,,,,,,,1,1
915429,73,1,,,,,,,,,1,1
915430,73,1,,,,,,,,,1,1
915444,4,1,1,,,,,,,,,1
915455,,,,,,,,,,,,1
915456,,,,,,,,,,,,1
915457,,,,,,,,,,,,1
915458,,,,,,,,,,,,1
915459,,,,,,,,,,,,1
915460,,,,,,,,,,,,1
915461,,,,,,,,,,,,1
915478,48,1,,,,1,1,,,,,
915481,8,2,,,,,,,,,,1
915486,117,1,,,,,,,,,,1
915489,,,,,,,1,,,,,
915525,49,1,,,1,,,,,,,1
